,2000,2010,Estado,Ratio,idh_level_2000
0,0.725,0.824,Distrito Federal,1.136551724137931,1
1,0.702,0.783,São Paulo,1.1153846153846154,1
2,0.674,0.774,Santa Catarina,1.1483679525222552,1
3,0.664,0.761,Rio de Janeiro,1.1460843373493976,1
4,0.65,0.749,Paraná,1.1523076923076923,1
5,0.664,0.746,Rio Grande do Sul,1.1234939759036144,1
6,0.64,0.74,Espírito Santo,1.15625,1
7,0.615,0.735,Goiás,1.1951219512195121,1
8,0.624,0.731,Minas Gerais,1.171474358974359,1
9,0.613,0.729,Mato Grosso do Sul,1.1892332789559543,1
10,0.601,0.725,Mato Grosso,1.2063227953410982,1
11,0.577,0.708,Amapá,1.2270363951473138,1
12,0.598,0.707,Roraima,1.1822742474916388,1
13,0.525,0.699,Tocantins,1.3314285714285712,0
14,0.537,0.69,Rondônia,1.2849162011173183,0
15,0.552,0.684,Rio Grande do Norte,1.2391304347826086,1
16,0.541,0.682,Ceará,1.2606284658040665,0
17,0.515,0.674,Amazonas,1.30873786407767,0
18,0.544,0.673,Pernambuco,1.2371323529411764,0
19,0.518,0.665,Sergipe,1.2837837837837838,0
20,0.517,0.663,Acre,1.2823984526112187,0
21,0.512,0.66,Bahia,1.2890625,0
22,0.506,0.658,Paraíba,1.300395256916996,0
23,0.484,0.646,Piauí,1.334710743801653,0
24,0.518,0.646,Pará,1.247104247104247,0
25,0.476,0.639,Maranhão,1.342436974789916,0
26,0.471,0.631,Alagoas,1.3397027600849258,0
