,Estado,I2000,I2010,Ratio,idh_level_2000
0,Distrito Federal,0.5820000000000001,0.742,1.274914089347079,1
1,São Paulo,0.581,0.719,1.2375215146299483,1
2,Santa Catarina,0.526,0.697,1.3250950570342204,1
3,Rio de Janeiro,0.53,0.675,1.2735849056603774,1
4,Paraná,0.522,0.668,1.2796934865900382,1
5,Espírito Santo,0.491,0.653,1.3299389002036661,1
6,Goiás,0.439,0.646,1.4715261958997723,1
7,Rio Grande do Sul,0.505,0.642,1.2712871287128713,1
8,Minas Gerais,0.47,0.638,1.3574468085106384,1
9,Mato Grosso,0.426,0.635,1.4906103286384977,1
10,Mato Grosso do Sul,0.445,0.629,1.4134831460674158,1
11,Amapá,0.424,0.629,1.483490566037736,1
12,Roraima,0.457,0.628,1.37417943107221,1
13,Tocantins,0.348,0.624,1.793103448275862,0
14,Ceará,0.377,0.615,1.6312997347480105,0
15,Rio Grande do Norte,0.396,0.597,1.5075757575757573,1
16,Rondônia,0.345,0.577,1.672463768115942,0
17,Pernambuco,0.37200000000000005,0.574,1.5430107526881718,0
18,Maranhão,0.312,0.562,1.8012820512820515,0
19,Amazonas,0.324,0.561,1.7314814814814816,0
20,Sergipe,0.34299999999999997,0.56,1.63265306122449,0
21,Acre,0.325,0.559,1.7200000000000002,0
22,Bahia,0.332,0.555,1.671686746987952,0
23,Paraíba,0.331,0.555,1.676737160120846,0
24,Piauí,0.301,0.547,1.817275747508306,0
25,Pará,0.319,0.528,1.6551724137931034,0
26,Alagoas,0.282,0.52,1.843971631205674,0
