,Estado,I2000,I2010,Ratio,idh_level_2000
0,Distrito Federal,0.814,0.873,1.0724815724815726,1
1,Santa Catarina,0.812,0.86,1.0591133004926108,1
2,São Paulo,0.786,0.845,1.075063613231552,1
3,Rio Grande do Sul,0.804,0.84,1.044776119402985,1
4,Minas Gerais,0.759,0.838,1.1040843214756257,1
5,Rio de Janeiro,0.74,0.835,1.1283783783783783,1
6,Espírito Santo,0.777,0.835,1.0746460746460746,1
7,Mato Grosso do Sul,0.752,0.833,1.1077127659574468,1
8,Paraná,0.747,0.83,1.1111111111111112,1
9,Goiás,0.773,0.827,1.0698576972833116,1
10,Mato Grosso,0.74,0.821,1.1094594594594593,1
11,Amapá,0.711,0.813,1.1434599156118144,0
12,Roraima,0.717,0.809,1.1283124128312414,0
13,Amazonas,0.692,0.805,1.1632947976878614,0
14,Rondônia,0.688,0.8,1.1627906976744187,0
15,Ceará,0.713,0.793,1.1122019635343618,0
16,Tocantins,0.688,0.793,1.1526162790697676,0
17,Rio Grande do Norte,0.7,0.792,1.1314285714285715,0
18,Pernambuco,0.705,0.789,1.119148936170213,0
19,Pará,0.725,0.789,1.0882758620689656,1
20,Bahia,0.68,0.783,1.151470588235294,0
21,Paraíba,0.672,0.783,1.1651785714285714,0
22,Sergipe,0.678,0.781,1.1519174041297935,0
23,Piauí,0.676,0.777,1.1494082840236686,0
24,Acre,0.694,0.777,1.1195965417867437,0
25,Maranhão,0.649,0.757,1.1664098613251155,0
26,Alagoas,0.647,0.755,1.1669242658423493,0
