,Estado,I2000,I2010,Ratio,idh_level_2000
0,Distrito Federal,0.805,0.863,1.0720496894409937,1
1,São Paulo,0.7559999999999999,0.789,1.043650793650794,1
2,Rio de Janeiro,0.745,0.782,1.0496644295302013,1
3,Santa Catarina,0.7170000000000001,0.773,1.0781032078103208,1
4,Rio Grande do Sul,0.72,0.769,1.0680555555555555,1
5,Paraná,0.7040000000000001,0.757,1.0752840909090908,1
6,Espírito Santo,0.687,0.743,1.0815138282387189,1
7,Goiás,0.6859999999999999,0.742,1.0816326530612246,1
8,Mato Grosso do Sul,0.687,0.74,1.0771470160116448,1
9,Mato Grosso,0.6890000000000001,0.732,1.062409288824383,1
10,Minas Gerais,0.68,0.73,1.0735294117647058,1
11,Rondônia,0.654,0.712,1.0886850152905199,1
12,Roraima,0.652,0.695,1.0659509202453987,1
13,Amapá,0.638,0.694,1.0877742946708462,1
14,Tocantins,0.605,0.69,1.140495867768595,0
15,Rio Grande do Norte,0.608,0.678,1.1151315789473686,0
16,Amazonas,0.608,0.677,1.1134868421052633,0
17,Pernambuco,0.615,0.673,1.094308943089431,0
18,Sergipe,0.596,0.672,1.12751677852349,0
19,Acre,0.612,0.671,1.09640522875817,0
20,Bahia,0.594,0.663,1.1161616161616164,0
21,Paraíba,0.5820000000000001,0.656,1.127147766323024,0
22,Ceará,0.588,0.651,1.1071428571428572,0
23,Pará,0.601,0.646,1.074875207986689,0
24,Alagoas,0.574,0.641,1.1167247386759582,0
25,Piauí,0.556,0.635,1.1420863309352518,0
26,Maranhão,0.531,0.612,1.1525423728813557,0
