,Estado,Outros,PSDB,PT
0,Distrito Federal,1.0,0.0,0.0
1,São Paulo,0.075,0.925,0.0
2,Santa Catarina,1.0,0.0,0.0
3,Rio de Janeiro,0.6,0.0,0.4
4,Paraná,1.0,0.0,0.0
5,Rio Grande do Sul,0.4,0.4,0.2
6,Espírito Santo,0.8,0.2,0.0
7,Goiás,0.4,0.6,0.0
8,Minas Gerais,0.2,0.8,0.0
9,Mato Grosso do Sul,0.4,0.6,0.0
10,Mato Grosso,0.8,0.2,0.0
11,Amapá,0.925,0.0,0.075
12,Roraima,0.325,0.4,0.275
13,Tocantins,0.8,0.2,0.0
14,Rondônia,0.6,0.4,0.0
15,Rio Grande do Norte,1.0,0.0,0.0
16,Ceará,0.4,0.0,0.6
17,Amazonas,1.0,0.0,0.0
18,Pernambuco,1.0,0.0,0.0
19,Sergipe,0.4,0.2,0.4
20,Acre,0.0,0.0,1.0
21,Bahia,0.6,0.0,0.4
22,Paraíba,0.45,0.55,0.0
23,Piauí,0.2,0.0,0.8
24,Pará,0.0,0.6,0.4
25,Maranhão,1.0,0.0,0.0
26,Alagoas,1.0,0.0,0.0
